objectPath,objectName,objectType,id
/SYS,Agent_Win64,AgentGroup,8c9Mq5EvU6fhmGictdw3gk
/Explore/VVN,m_mplt_filter,DTEMPLATE,9an6bfumNYNdXYFrBAjvAp
/SYS,SK_Con_FF_Auto,Connection,2Nz8PUZaiAGkyzv7xR47oK
/SYS,SK_Con_MySQL_Auto,Connection,gH8cC4GqzAUh7nrAqFz8mA
/Explore/VVN,m_mplt_filter,MTT,8VwYwnJcGXKdxlMFRBn8U8
/SYS,RU35002.informatica.com,AgentGroup,buzIP0bNMqEffcbdPzm5oh
/Explore/VVN,mplt_filter,MAPPLET,6yxk1eRWoTMbfXm52zzREW
/SYS,TMS44W1264001,AgentGroup,dJvRtkuueSvhMVRN5LD0gW
/Explore,VVN,Project,fPE5sFsPy40kLUVJeoWFk9
